img,output,flag,username,timestamp
Z:\pythonProjects\finalYearProject\flagged\img\tmp94gmpci4.jpg,,,,2023-04-15 13:44:48.496346
Z:\pythonProjects\finalYearProject\flagged\image\tmpo3fif8dn.jpg,Pneumonic,,,2023-04-15 17:16:11.375904
